PAD_GYR,NOMBRE_BATERIA,POZO,METODO,Tipo_candidato,FECHA_PEM,Fecha_candidato,Objetivo NI,Stimulated_Lateral_Length_(m),Fecha_control,Ultimo_control_m3/d,Ultimo_agua_m3/d,Ultimo_GOR,Ultima_presion_kg/cm2,Cantidad_FH,Meses_PEM,EventosCumplidosPorPozo,FechaBrutaMenor100,FechaBrutaMenor35
LC_PAD-276-2,BAT LC CE-02,LLL-1818(h),FA,Candidato BES,2025-06-12 00:00:00,2026-05-12 00:00:00,Organico,3522,2025-07-28 00:00:00,401.05,232.81,272.996,,1,2,,2026-09-01 00:00:00,
LC_PAD-320,BAT LC CE-03,LLL-1795(h),FA,Candidato BES,2024-09-12 00:00:00,2025-08-12 00:00:00,Organico,3726,2025-07-25 00:00:00,120.42,26.74,185.07,76.4973373413086,1,11,,2026-08-01 00:00:00,
LC_PAD-346,EPF 5,SOil-456(h),FA,Candidato BES,2025-01-22 00:00:00,2025-12-22 00:00:00,Cocina,3890,2025-07-19 00:00:00,135.82,4.67,105.241,122.38800048828125,,7,,2026-07-01 00:00:00,
LC_PAD-276,BAT LC CE-02,LLL-1450(h),FA,Candidato BES,2024-09-16 00:00:00,2025-08-16 00:00:00,Organico,3878.4,2025-05-27 00:00:00,171.26,42.3,318.525,140.59249877929688,,11,,2026-06-01 00:00:00,
LC_PAD-276,BAT LC CE-02,LLL-1449(h),FA,Candidato BES,2024-09-05 00:00:00,2025-08-05 00:00:00,Organico,3872,2025-06-26 00:00:00,156.99,33.4,278.267,134.023193359375,,11,,2026-05-01 00:00:00,
LC_PAD-290,LA LATA 3,LLL-1658(h),FA,Candidato BES,2023-09-04 00:00:00,2024-08-04 00:00:00,Organico,3136,2025-07-19 00:00:00,94.05,20,137.853,72.9788818359375,,24,,2026-01-01 00:00:00,
LC_PAD-339,BAT LC SE-01,LLL-1989(h),FA,Candidato BES,2025-02-06 00:00:00,2026-01-06 00:00:00,Cocina,3436.5,2025-07-27 00:00:00,146.9,13.2,115.939,91.5276870727539,,6,,2026-01-01 00:00:00,
LC_PAD-276,BAT LC CE-02,LLL-1448(h),FA,Candidato BES,2024-09-05 00:00:00,2025-08-05 00:00:00,Cocina,3858,2025-07-26 00:00:00,130.32,13.31,271.903,109.50659942626953,,11,,2025-12-01 00:00:00,
LC_PAD-288,BAT LC CE-02,LLL-1650(h),FA,Candidato BES,2024-04-17 00:00:00,2025-03-17 00:00:00,Organico,3123.2,2025-07-30 00:00:00,130.6,117.54,2561.256,97.76394653320312,,16,,2025-12-01 00:00:00,
LC_PAD-288,BAT LC CE-02,LLL-1651(h),FA,Candidato BES,2024-04-17 00:00:00,2025-03-17 00:00:00,Organico,3961,2025-07-23 00:00:00,70,67,66.667,265.03070068359375,1,16,,2025-12-01 00:00:00,
LC_PAD-339,BAT LC SE-01,LLL-1990(h),FA,Candidato BES,2025-02-06 00:00:00,2026-01-06 00:00:00,Cocina,3078,2025-07-23 00:00:00,107.56,5.76,102.721,73.26383972167969,,6,,2025-12-01 00:00:00,
LC_PAD-339,BAT LC SE-01,LLL-1991(h),FA,Candidato BES,2025-02-06 00:00:00,2026-01-06 00:00:00,Cocina,2886,2025-07-24 00:00:00,117.45,11.95,103.583,108.48190307617188,,6,,2025-12-01 00:00:00,
LC_PAD-276,BAT LC CE-02,LLL-1446(h),FA,Candidato BES,2024-09-05 00:00:00,2025-08-05 00:00:00,Cocina,3780,2025-07-26 00:00:00,115.62,10.24,294.329,106.05349731445312,1,11,,2025-11-01 00:00:00,
LC_PAD-276,BAT LC CE-02,LLL-1447(h),FA,Candidato BES,2024-09-05 00:00:00,2025-08-05 00:00:00,Organico,3750.4,2025-06-27 00:00:00,179.23,49.19,322.043,139.17799377441406,1,11,,2025-11-01 00:00:00,
LC_PAD-290-2,BAT LC CE-03,LLL-1495(h),FA,Candidato BES,2024-10-17 00:00:00,2025-09-17 00:00:00,Cocina,2160,2025-06-29 00:00:00,158.15,12.66,230.723,101.55549621582031,,10,,2025-10-01 00:00:00,
LC_PAD-288,BAT LC CE-02,LLL-1646(h),FA,Candidato BES,2024-04-17 00:00:00,2025-03-17 00:00:00,Cocina,3894,2025-07-23 00:00:00,75,71,4951.622,245.79629516601562,,16,,2025-10-01 00:00:00,
LC_PAD-288,BAT LC CE-02,LLL-1649(h),FA,Candidato BES,2024-04-17 00:00:00,2025-03-17 00:00:00,Cocina,3900,2025-07-31 00:00:00,90,85,305,136.2270050048828,1,16,,2025-10-01 00:00:00,
LC_PAD-320,BAT LC CE-03,LLL-1797(h),FA,Candidato BES,2024-09-12 00:00:00,2025-08-12 00:00:00,Organico,3392,2025-07-31 00:00:00,96.18,19.69,205.319,69.65164184570312,1,11,,2025-10-01 00:00:00,
LC_PAD-276,BAT LC CE-02,LLL-1451(h),FA,Candidato BES,2024-09-16 00:00:00,2025-08-16 00:00:00,Cocina,3864,2025-07-26 00:00:00,110.11,24.12,280.165,100.69940185546875,,11,,2025-09-01 00:00:00,
LC_PAD-305,EPF LC-16,LLL-1722(h),FA,Candidato BES,2023-11-16 00:00:00,2024-10-16 00:00:00,Organico,3455.6,2025-07-27 00:00:00,103.1,22.3,184.431,82.86860656738281,1,21,,2025-09-01 00:00:00,
LC_PAD-302,BAT LC SE-01,LLL-1771(h),FA,Candidato BES,2024-05-24 00:00:00,2025-04-24 00:00:00,Cocina,3730,2025-07-18 00:00:00,130.18,4.98,103.219,67.56893920898438,2,15,,2025-09-01 00:00:00,
LC_PAD-288,BAT LC CE-02,LLL-1647(h),FA,Candidato BES,2024-04-17 00:00:00,2025-03-17 00:00:00,Organico,3840,2025-05-31 00:00:00,118.89,24.25,310.101,93.27169799804688,1,16,,2025-07-01 00:00:00,
LC_PAD-339,BAT LC SE-01,LLL-1992(h),FA,Candidato BES,2025-02-06 00:00:00,2026-01-06 00:00:00,"",2434,2025-07-15 00:00:00,43.4,7.44,116.731,79.67340850830078,,6,,2025-07-01 00:00:00,
LC_PAD-290-2,BAT LC CE-03,LLL-1497(h),FA,Candidato BES,2024-10-17 00:00:00,2025-09-17 00:00:00,Organico,2496,2025-06-07 00:00:00,98.117,16.807,341.92,96.8501205444336,1,10,,2025-06-01 00:00:00,
LC_PAD-290,LA LATA 3,LLL-1659(h),FA,Candidato BES,2023-09-04 00:00:00,2024-08-04 00:00:00,Organico,2752,2025-07-25 00:00:00,85.64,13.06,133.228,69.57816314697266,,24,,2025-06-01 00:00:00,
LC_PAD-318,EPF LC-18,LLL-1794(h),FA,Candidato BES,2024-07-15 00:00:00,2025-06-15 00:00:00,Cocina,3746.4,2025-07-24 00:00:00,95.31,5.5,133.982,75.60562133789062,,13,,2025-06-01 00:00:00,
LC_PAD-276-2,BAT LC CE-02,LLL-1813(h),FA,Candidato BES,2025-06-23 00:00:00,2026-05-23 00:00:00,Cocina,3380,2025-07-25 00:00:00,332.79,134.11,244.237,318.0530090332031,1,2,,2025-06-01 00:00:00,
LC_PAD-276-2,BAT LC CE-02,LLL-1814(h),FA,Candidato BES,2025-06-23 00:00:00,2026-05-23 00:00:00,Organico,3498,2025-07-24 00:00:00,319.29,226.57,271.984,286.93701171875,,2,,2025-06-01 00:00:00,
LC_PAD-276-2,BAT LC CE-02,LLL-1815(h),FA,Candidato BES,2025-06-20 00:00:00,2026-05-20 00:00:00,Cocina,3415,2025-07-23 00:00:00,324.03,113.44,252.852,321.8251037597656,,2,,2025-06-01 00:00:00,
LC_PAD-276-2,BAT LC CE-02,LLL-1816(h),FA,Candidato BES,2025-06-17 00:00:00,2026-05-17 00:00:00,Organico,3042,2025-07-30 00:00:00,355.6,195.05,253.986,265.43011474609375,,2,,2025-06-01 00:00:00,
LC_PAD-276-2,BAT LC CE-02,LLL-1817(h),FA,Candidato BES,2025-06-28 00:00:00,2026-05-28 00:00:00,Cocina,3507,2025-07-29 00:00:00,352.23,110.32,233.611,,1,2,,2025-06-01 00:00:00,2025-06-01 00:00:00
LC_PAD-343,BAT LC SE-01,LLL-2021(h),FA,Candidato BES,2025-06-11 00:00:00,2026-05-11 00:00:00,Cocina,2660,2025-07-23 00:00:00,157.5,49.42,132.06,297.9627990722656,,2,,2025-06-01 00:00:00,2026-11-01 00:00:00
LC_PAD-320,BAT LC CE-03,LLL-1799(h),FA,Candidato BES,2024-09-12 00:00:00,2025-08-12 00:00:00,Organico,3084.8,2025-07-18 00:00:00,101.45,13.87,204.39,77.68710327148438,1,11,,2025-05-01 00:00:00,
LC_PAD-343,BAT LC SE-01,LLL-2019(h),FA,Candidato BES,2025-05-28 00:00:00,2026-04-28 00:00:00,Cocina,2950,2025-07-22 00:00:00,364.01,68.05,122.537,236.15249633789062,,3,,2025-05-01 00:00:00,2025-05-01 00:00:00
LC_PAD-343,BAT LC SE-01,LLL-2020(h),FA,Candidato BES,2025-05-28 00:00:00,2026-04-28 00:00:00,Cocina,2919.4,2025-07-24 00:00:00,358.11,77.07,120.538,239.86700439453125,,3,,2025-05-01 00:00:00,2025-05-01 00:00:00
LC_PAD-318,EPF LC-18,LLL-1782(h),FA,Candidato BES,2024-07-15 00:00:00,2025-06-15 00:00:00,Cocina,3300,2025-07-23 00:00:00,87.78,3.5,122.983,57.975379943847656,,13,,2025-03-01 00:00:00,
LC_PAD-333,EPF 11,LLL-1909(h),FA,Candidato BES,2025-03-12 00:00:00,2026-02-12 00:00:00,Cocina,2526,2025-07-25 00:00:00,174.92,72.79,603.954,222.86720275878906,,5,,2025-03-01 00:00:00,2026-04-01 00:00:00
LC_PAD-333,EPF 11,LLL-1910(h),FA,Candidato BES,2025-03-12 00:00:00,2026-02-12 00:00:00,Organico,2520,2025-07-17 00:00:00,152.46,93.97,587.082,153.18260192871094,,5,,2025-03-01 00:00:00,2026-04-01 00:00:00
LC_PAD-290-2,BAT LC CE-03,LLL-1494(h),FA,Candidato BES,2024-10-16 00:00:00,2025-09-16 00:00:00,Organico,2099.2,2025-06-27 00:00:00,105.61,22.9,350.516,112.6666030883789,,10,,2025-02-01 00:00:00,
LC_PAD-320,BAT LC CE-03,LLL-1800(h),FA,Candidato BES,2024-09-12 00:00:00,2025-08-12 00:00:00,Organico,2400,2025-07-29 00:00:00,58.33,17.67,113.777,62.972740173339844,,11,,2025-02-01 00:00:00,2026-11-01 00:00:00
LC_PAD-217A,BAT LC SE-01,LLL-1489(h),FA,Candidato BES,2018-03-14 00:00:00,2019-02-14 00:00:00,Cocina,1867.5000000000007,2025-07-10 00:00:00,40.53,18.95,116.111,48.35411071777344,,89,,2025-01-01 00:00:00,2025-01-01 00:00:00
LC_PAD-300,EPF 15,SOil-439(h),FA,Candidato BES,2022-09-05 00:00:00,2023-08-05 00:00:00,Cocina,2790.4,2025-06-19 00:00:00,64.13,22.41,262.75,58.815101623535156,,36,,2025-01-01 00:00:00,2025-04-01 00:00:00
LC_PAD-346,EPF 5,SOil-455(h),FA,Candidato BES,2025-01-15 00:00:00,2025-12-15 00:00:00,Cocina,3290,2025-07-24 00:00:00,138.18,3.99,109.443,113.27580261230469,1,7,,2025-01-01 00:00:00,
LC_PAD-346,EPF 5,SOil-457(h),FA,Candidato BES,2025-01-21 00:00:00,2025-12-21 00:00:00,Cocina,3603,2025-07-20 00:00:00,155.38,6.29,104.036,132.0906982421875,,7,,2025-01-01 00:00:00,
LC_PAD-346,EPF 5,SOil-458(h),FA,Candidato BES,2025-01-13 00:00:00,2025-12-13 00:00:00,"",2751,2025-07-27 00:00:00,129.16,3.58,104.905,122.26380157470703,1,7,,2025-01-01 00:00:00,
LC_PAD-346,EPF 5,SOil-459(h),FA,Candidato BES,2025-01-14 00:00:00,2025-12-14 00:00:00,Cocina,3429,2025-07-29 00:00:00,145.61,5.42,99.813,82.43982696533203,,7,,2025-01-01 00:00:00,
LC_PAD-346,EPF 5,SOil-460(h),FA,Candidato BES,2025-01-16 00:00:00,2025-12-16 00:00:00,Cocina,2937,2025-07-28 00:00:00,110.16,3.84,98.383,92.75340270996094,,7,,2025-01-01 00:00:00,
LC_PAD-343,BAT LC SE-01,LLL-2022(h),FA,Candidato BES,2025-06-13 00:00:00,2026-05-13 00:00:00,Cocina,3612.8,2025-06-28 00:00:00,11.16,0.25,55.729,356.293212890625,,2,,,
LC_PAD-43B,EPF 5,SOil-256(h),FA,Candidato BES,2016-02-14 00:00:00,2017-01-14 00:00:00,Organico,1329,2017-06-24 00:00:00,34.89,2.19,235.138,6.600036144256592,,114,,,
