Pozo,Calidad Declino,FECHA - UPA,Fecha Capex Ajustada,Metodo_Produccion_Actual_Cd,Presion_cabeza,Fecha_ultimo_control,Ult_Q,Fecha_crono,Retraso_control,UltimoIndice
AdCh-1005h),,,,FA,289.377109490758,2025-08-19 00:00:00,95,,1,0.9601362202973135
LACh-457(h),,,,FA,281.457091036497,2025-08-22 00:00:00,410.15,,1,1.5348434369679698
LACh-459(h),,,,FA,275.059629259167,2025-08-21 00:00:00,405.9,,1,0.9617874151473815
LACh-16,,,,FL,252.63610853942,2025-08-11 00:00:00,15.81,"",1,
LACh-418(h),,,,FA,144.908617330761,2025-08-24 00:00:00,276.22,,1,0.5850236459478924
LACh-419(h),,,,FA,117.234307765579,2025-08-25 00:00:00,304.88,,1,0.6997911149170554
LACh-417(h),,,,FA,108.964640278461,2025-08-23 00:00:00,288.56,,1,0.20052775692709676
LACh-394(h),,,,FL,95.3739773390274,2025-07-30 00:00:00,109.58,,2,0.09275299854500896
LACh-396(h),,,,FL,94.0314193273938,2025-07-20 00:00:00,66.07,,2,0.17502946154862414
LACh-119(h),,,,FL,85.7154999129011,2025-07-17 00:00:00,70.34,,2,-0.32357721188497773
LACh-171(h),,,,FL,52.2644020118153,2025-07-12 00:00:00,122.4,Fri Dec 06 2024 04:00:00 GMT-0300 (hora estándar de Argentina),2,-3.826467068570958
LACh-644(h),,,,FL,46.0351031179888,2025-06-04 00:00:00,80.5,,3,0.024483558769760265
LACh-440(h),,,,FL,32.9645041331713,2025-07-13 00:00:00,61.4,,2,-0.4069629801413693
LACh-190(h),,,,FL,32.1712298184336,2025-06-15 00:00:00,59.6,"",3,0.3083198410508148
LACh-376(h),,,,FL,0,2025-05-06 00:00:00,53.06,"",4,0.22849751341306904
LACh-22(h),,,,FL,,2025-03-22 00:00:00,40.2,"",6,
AdCh-1002(h),Mala,,2025-09-01 00:00:00,FL,259.692689998806,2025-08-06 00:00:00,92.71,,1,-0.0000934503642061948
AdCh-1001(h),Mala,,2025-09-01 00:00:00,FL,257.64447545148,2025-08-05 00:00:00,85.9,"",1,-0.00010045439000907402
AdCh-1007(h),Mala,,2025-09-01 00:00:00,FL,223.08241341057,2025-08-05 00:00:00,79.43,,1,1.3540509686901683
LACh-461(h),Mala,,2025-09-01 00:00:00,FA,187.99115079234,2025-08-24 00:00:00,175.13,,1,0.4110847289089048
LACh-468(h),Regular,,2025-09-01 00:00:00,FL,186.654178150106,2025-03-24 00:00:00,45.56,,6,0.11666980259745312
LACh-414(h),Mala,,2025-09-01 00:00:00,FL,178.776827068378,2025-07-24 00:00:00,69.63,,2,-0.25631612414887484
LACh-227(h),Regular,,2025-09-01 00:00:00,FA,173.962815245211,2025-06-02 00:00:00,115.1,"",4,-0.5527751005226293
AdCh-1008(h),Mala,,2025-09-01 00:00:00,FL,152.437593569959,2025-08-06 00:00:00,108.24,,1,1.2456720143485631
LACh-329(h),Regular,,2025-09-01 00:00:00,FA,149.603055514067,2025-07-25 00:00:00,116.62,"",2,0.24920345019006068
LACh-700(h),Mala,,2025-09-01 00:00:00,FA,141.553235082431,2025-08-23 00:00:00,172.17,,1,0.31471388085196766
LACh-668(h),Mala,,2025-09-01 00:00:00,FA,129.662970669067,2025-07-22 00:00:00,0,,2,0.152471983104231
LACh-460(h),Mala,,2025-09-01 00:00:00,FA,119.564170192005,2025-08-24 00:00:00,125.47,,1,0.23583451965232072
AdCh-1063(h)(I),Regular,,2025-09-01 00:00:00,FA,106.015656130658,2025-08-10 00:00:00,138.47,,1,
LACh-662(h),Regular,,2025-09-01 00:00:00,FA,101.865586309603,2025-07-14 00:00:00,127.9,,2,0.010760578353239781
AdCh-1064(h),Regular,,2025-09-01 00:00:00,FA,95.2995638157788,2025-08-13 00:00:00,132.61,,1,
AdCh-1227(h),Mala,,2025-09-01 00:00:00,FA,93.7392797765475,2025-08-08 00:00:00,132.45,Tue Nov 18 2025 23:00:00 GMT-0300 (hora estándar de Argentina),1,0.3186958468157585
LACh-109(h),Mala,,2025-09-01 00:00:00,FA,82.0136671732321,2025-07-24 00:00:00,110.47,"",2,0.2317333203597744
AdCh-1048(h),Buena,,2025-09-01 00:00:00,FA,78.6751783391141,2025-08-25 00:00:00,64.67,,1,
LACh-667(h),Mala,,2025-09-01 00:00:00,FA,77.311057384849,2025-06-10 00:00:00,138.52,,3,0.18070176872141433
LACh-228(h),Regular,,2025-09-01 00:00:00,FA,77.0107726168843,2025-06-11 00:00:00,67.54,"",3,0.07515264325496443
AdCh-1046(h),Regular,,2025-09-01 00:00:00,FA,67.1266367095637,2025-08-23 00:00:00,53.21,,1,
AdCh-1241(h),Buena,,2025-09-01 00:00:00,FA,63.4751357288166,2025-08-07 00:00:00,114.46,,1,
LACh-230(h),Regular,,2025-09-01 00:00:00,FA,63.2803391379462,2025-06-02 00:00:00,35.5,"",4,-3.365315613931062
LACh-661(h),Mala,,2025-09-01 00:00:00,FA,59.8406698513416,2025-06-03 00:00:00,95.84,,3,0.13263936156729583
AdCh-1044(h),Regular,,2025-09-01 00:00:00,FA,56.7997601738292,2025-08-22 00:00:00,74.65,,1,
LACh-84(h),Mala,,2025-09-01 00:00:00,FL,47.7494388775911,2025-06-02 00:00:00,48.203,,4,
LACh-375(h),Mala,,2025-09-01 00:00:00,FL,47.6839431511717,2025-05-06 00:00:00,43.54,"",4,0.32584330568261166
LACh-135(h),Mala,,2025-09-01 00:00:00,FL,40.9959154762251,2025-08-27 00:00:00,69.42,"",1,0.24490196668236025
LACh-636(h),Mala,,2025-09-01 00:00:00,FL,40.4039055914625,2025-06-23 00:00:00,51.3,,3,0.19586145169075025
LACh-159(h),Regular,,2025-09-01 00:00:00,FL,40.1105760646293,2025-07-20 00:00:00,48.84,,2,0.10221923842100011
LACh-24(h),Regular,,2025-09-01 00:00:00,FL,37.9002875803318,2025-07-09 00:00:00,6.19,"",2,
LACh-339(h),Mala,,2025-09-01 00:00:00,FL,37.2261590460962,2025-08-26 00:00:00,11.1,Sat Jun 28 2025 17:00:00 GMT-0300 (hora estándar de Argentina),1,-0.10464759612483471
LACh-110(h),Mala,,2025-09-01 00:00:00,FL,37.167070601646,2025-07-24 00:00:00,53.35,"",2,-0.30763050517183876
LACh-158(h),Buena,,2025-09-01 00:00:00,FL,36.3558299808469,2025-07-20 00:00:00,24.36,Sun Jan 12 2025 00:00:00 GMT-0300 (hora estándar de Argentina),2,0.05751480559182618
LACh-247(h),Mala,,2025-09-01 00:00:00,FL,35.9341749985913,2025-08-30 00:00:00,48.16,Sat Nov 01 2025 00:00:00 GMT-0300 (hora estándar de Argentina),1,-0.30505694358931496
LACh-94(h),Regular,,2025-09-01 00:00:00,FL,29.3472364221475,2025-02-25 00:00:00,31.18,"",7,
LACh-385(h),Mala,,2025-09-01 00:00:00,FL,29.1131606797949,2025-05-30 00:00:00,51.2,"",4,-0.004660670589768463
LACh-606(h),Mala,,2025-09-01 00:00:00,FL,27.3180262725401,2025-08-05 00:00:00,50.4,,1,-0.08211391519296642
LACh-628(h),Regular,,2025-09-01 00:00:00,FA,24.2555813627287,2025-08-02 00:00:00,15.84,,2,-0.058799056267409354
LACh-471(h),Regular,,2025-09-01 00:00:00,FL,23.4176242971967,2025-06-03 00:00:00,49.22,"",3,0.15372579615751014
LACh-136(h),Mala,,2025-09-01 00:00:00,FL,23.0488040500649,2025-09-02 00:00:00,42.35,,0,0.09112596134736567
LACh-137(h),Mala,,2025-09-01 00:00:00,FL,22.9464160397985,2025-06-02 00:00:00,23.41,,4,0.18706924768648855
LACh-69(h),Buena,,2025-09-01 00:00:00,FL,5.02825752023888,2024-05-31 00:00:00,7.1,,16,
LACh-412(h),Mala,,2025-09-01 00:00:00,FL,3.93583543678514,2025-06-28 00:00:00,58.06,Sat Mar 01 2025 08:00:00 GMT-0300 (hora estándar de Argentina),3,0.039642017820292905
LACh-413(h),Mala,,2025-09-01 00:00:00,FL,0.197966962951597,2025-07-24 00:00:00,38.88,,2,0.08054912149103868
LACh-231(h),Mala,,2025-09-01 00:00:00,FA,0.0099724213185442,2025-08-31 00:00:00,,"",1,0.16179970055307039
LACh-160(h),Buena,,2025-09-01 00:00:00,FL,0,2025-02-11 00:00:00,26.69,"",7,0.06499651761755681
LACh-643(h),Regular,,2025-09-01 00:00:00,FA,,2025-05-21 00:00:00,28.2,,4,0.04098255203882191
LACh-411(h),Regular,,2025-09-01 00:00:00,FL,,2025-07-25 00:00:00,6.34,Wed Apr 23 2025 12:00:00 GMT-0300 (hora estándar de Argentina),2,0.09022508410697029
LACh-393(h),Mala,,2025-10-01 00:00:00,FL,244.494169309049,2025-05-02 00:00:00,75.65,,5,-0.21112180528343136
AdCh-1257(h),Mala,,2025-10-01 00:00:00,FA,162.16576237838,2025-08-18 00:00:00,205.63,,1,
AdCh-1045(h),Regular,,2025-10-01 00:00:00,FA,159.658351690073,2025-08-22 00:00:00,115,,1,
